date,pm25,pm10,no2,health_risk_score,risk_level
2025-11-09,12.145833333333334,17.879166666666666,46.69166666666666,20.15,Low
2025-11-10,11.512500000000001,14.395833333333334,28.675,16.78,Low
2025-11-11,8.316666666666666,12.75,29.491666666666664,13.7,Low
2025-11-12,8.483333333333333,11.495833333333332,29.129166666666666,13.43,Low
2025-11-13,8.591666666666667,12.604166666666666,31.041666666666668,14.05,Low
2025-11-14,11.512500000000001,13.695833333333333,32.225,16.92,Low
2025-11-15,3.733333333333333,4.516666666666667,13.304166666666667,5.8,Low
2025-11-16,5.441666666666666,8.145833333333334,18.900000000000002,8.87,Low
2025-11-17,4.370833333333334,13.154166666666667,17.641666666666666,9.35,Low
2025-11-18,5.75,10.979166666666666,27.05,10.79,Low
2025-11-19,5.1875,7.904166666666666,22.054166666666664,8.9,Low
2025-11-20,7.470833333333334,11.654166666666667,48.225,14.54,Low
2025-11-21,16.120833333333334,19.383333333333333,48.15416666666667,24.06,Low
2025-11-22,16.7625,19.354166666666668,29.316666666666666,22.71,Low
2025-11-23,6.2625,7.5375000000000005,12.3125,8.71,Low
2025-11-24,9.679166666666667,13.887500000000001,34.90833333333333,15.72,Low
2025-11-25,9.1,13.816666666666668,29.945833333333336,14.72,Low
2025-11-26,15.216666666666667,18.616666666666667,38.020833333333336,22.07,Low
2025-11-27,12.395833333333334,15.7125,30.462500000000002,18.09,Low
2025-11-28,7.183333333333334,10.487499999999999,22.879166666666666,11.42,Low
2025-11-29,7.375,10.466666666666667,16.908333333333335,10.98,Low
2025-11-30,5.054166666666666,9.604166666666666,17.087500000000002,8.8,Low
2025-12-01,8.0,11.741666666666667,17.829166666666666,11.97,Low
2025-12-02,6.6499999999999995,8.112499999999999,20.3,10.01,Low
2025-12-03,13.341666666666667,16.041666666666668,32.84166666666667,19.21,Low
2025-12-04,10.291666666666666,13.058333333333332,22.474999999999998,14.74,Low
2025-12-05,15.441666666666668,18.833333333333332,30.695833333333336,21.59,Low
2025-12-06,4.408333333333333,6.941666666666666,10.695833333333333,6.83,Low
2025-12-07,6.479166666666667,10.970833333333333,16.2,10.31,Low
2025-12-08,5.579166666666667,8.604166666666666,17.3625,8.97,Low
2025-12-09,7.770833333333333,9.704166666666667,19.916666666666668,11.38,Low
2025-12-10,6.358333333333333,13.266666666666666,17.529166666666665,11.03,Low
2025-12-11,11.354166666666666,16.558333333333334,31.883333333333336,17.62,Low
2025-12-12,16.683333333333334,19.733333333333334,32.19166666666667,23.04,Low
2025-12-13,11.808333333333332,16.8125,38.979166666666664,18.78,Low
2025-12-14,18.254166666666666,21.016666666666666,25.8125,24.1,Low
2025-12-15,12.808333333333332,15.520833333333334,16.841666666666665,17.01,Low
2025-12-16,13.329166666666666,16.208333333333332,32.1625,19.19,Low
2025-12-17,15.9125,19.170833333333334,37.862500000000004,22.8,Low
2025-12-18,8.0375,11.525,14.229166666666666,11.58,Low
2025-12-19,7.141666666666667,11.970833333333333,26.09583333333333,12.15,Low
2025-12-20,16.116666666666667,21.858333333333334,32.983333333333334,23.29,Low
2025-12-21,19.566666666666666,24.791666666666668,26.025000000000002,26.35,Low
2025-12-22,17.9875,22.141666666666666,19.2,23.55,Low
2025-12-23,16.795833333333334,20.266666666666666,10.9625,21.17,Low
2025-12-24,4.7625,5.779166666666666,7.729166666666667,6.48,Low
2025-12-25,6.129166666666666,7.279166666666666,10.200000000000001,8.31,Low
2025-12-26,12.391666666666666,14.520833333333334,20.054166666666667,16.69,Low
2025-12-27,10.012500000000001,14.008333333333333,23.666666666666668,14.91,Low
2025-12-28,11.637500000000001,16.520833333333332,30.34166666666667,17.69,Low
2025-12-29,8.533333333333333,16.0125,32.96666666666667,15.21,Low
2025-12-30,4.616666666666666,13.320833333333333,17.8,9.62,Low
2025-12-31,4.920833333333333,10.870833333333332,25.479166666666668,9.91,Low
2026-01-01,4.6000000000000005,10.479166666666666,11.666666666666666,8.14,Low
2026-01-02,3.591666666666667,11.700000000000001,13.279166666666667,7.83,Low
2026-01-03,3.8541666666666665,9.479166666666666,18.179166666666667,7.87,Low
2026-01-04,3.75,10.6875,16.783333333333335,8.01,Low
2026-01-05,8.366666666666667,12.579166666666666,41.704166666666666,14.92,Low
2026-01-06,8.237499999999999,11.583333333333334,41.525,14.49,Low
2026-01-07,8.179166666666667,10.237499999999999,24.229166666666668,12.31,Low
2026-01-08,10.266666666666667,13.116666666666667,35.325,16.02,Low
2026-01-09,3.5666666666666664,4.545833333333333,19.558333333333334,6.29,Low
2026-01-10,6.633333333333333,8.737499999999999,11.029166666666667,9.25,Low
2026-01-11,10.029166666666667,11.054166666666667,26.929166666666664,14.37,Low
2026-01-12,13.629166666666668,14.004166666666668,32.44166666666667,18.8,Low
